MATRICULA,IDADE,ESTADO_CIVIL_ALUNOS,RAZAO_INATIVIDADE,TIPO_ENSINO_MEDIO,ANO_FORMATURA_ENSINO_MEDIO,NOTA,ESTATUS,TERMO,GENERO_MASCULINO,NACIONALIDADE_BRASILEIRA_POR_NATURALIZACAO,NACIONALIDADE_ESTRANGEIRA,TIPO_ADMISSAO_DECISAO_JUDICIAL_ADM,TIPO_ADMISSAO_GRADUADO,TIPO_ADMISSAO_REOPCAO,TIPO_ADMISSAO_SISU,TIPO_ADMISSAO_TRANSFERENCIA,TIPO_ADMISSAO_VESTIBULAR,POLITICA_AFIRMATIVA_BONUS,POLITICA_AFIRMATIVA_L1,POLITICA_AFIRMATIVA_L10,POLITICA_AFIRMATIVA_L13,POLITICA_AFIRMATIVA_L14,POLITICA_AFIRMATIVA_L2,POLITICA_AFIRMATIVA_L5,POLITICA_AFIRMATIVA_L6,POLITICA_AFIRMATIVA_L9
118210631,25,3,0,4,2017.0,-1.0,4,2019.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
119110746,23,3,2,4,2018.0,8.3,0,2022.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
108210019,35,3,7,0,2011.0,6.5,0,2009.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111210421,31,3,7,4,2010.0,7.6,0,2015.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117210343,26,3,0,4,2016.0,8.6,0,2020.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
113210157,28,3,5,3,2012.0,5.0,0,2015.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103210263,39,3,7,0,2011.0,5.9,0,2006.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111210421,31,3,7,4,2010.0,4.4,5,2011.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107110006,34,3,0,0,2011.0,8.2,0,2007.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111210449,45,0,5,0,2011.0,-1.0,4,2012.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118210694,25,3,5,3,2016.0,3.5,5,2018.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118210758,24,3,0,4,2017.0,1.7,5,2019.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
111210873,30,3,5,4,2010.0,2.4,5,2012.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116110432,31,3,5,3,2011.0,7.1,0,2016.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116110900,36,3,5,4,2011.0,-1.0,4,2016.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
111110087,38,3,5,0,2011.0,8.5,0,2012.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111210392,31,3,5,0,2011.0,9.0,0,2011.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115211289,27,3,7,4,2014.0,5.0,0,2016.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
114210770,29,3,8,4,2012.0,-1.0,4,2014.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
118210349,25,3,2,4,2017.0,9.7,0,2022.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
